id,retweet_count,favorite_count
892420643555336193,6953,33639
892177421306343426,5259,29177
891815181378084864,3462,21945
891689557279858688,7174,36719
891327558926688256,7704,35116
891087950875897856,2579,17721
890971913173991426,1643,10312
890729181411237888,15657,56566
890609185150312448,3597,24389
890240255349198849,6053,27804
890006608113172480,6100,26905
889880896479866881,4129,24435
889665388333682689,8287,41813
889638837579907072,3693,23542
889531135344209921,1872,13289
889278841981685760,4409,21986
888917238123831296,3734,25490
888804989199671297,3505,22348
888554962724278272,2856,17229
888078434458587136,2878,19068
887705289381826560,4511,26482
887517139158093824,9792,40517
887473957103951883,14931,59866
887343217045368832,8760,29443
887101392804085760,4962,26861
886983233522544640,6270,30190
886736880519319552,2607,10442
886680336477933568,3713,19632
886366144734445568,2611,18443
886267009285017600,4,103
886258384151887873,5237,24411
886054160059072513,93,0
885984800019947520,5580,28457
885528943205470208,5296,31425
885518971528720385,3093,17913
885311592912609280,15328,0
885167619883638784,3645,19152
884925521741709313,14918,66887
884876753390489601,4631,24264
884562892145688576,3889,21201
884441805382717440,4768,23751
884247878851493888,16787,62857
884162670584377345,2489,17854
883838122936631299,2846,19056
883482846933004288,8204,39984
883360690899218434,3058,19839
883117836046086144,5502,32321
882992080364220416,3223,20874
882762694511734784,4071,24651
882627270321602560,5032,24493
882268110199369728,9559,38980
882045870035918850,4057,25589
881906580714921986,2835,21342
881666595344535552,8896,44292
881633300179243008,8,113
881536004380872706,13323,43216
881268444196462592,4472,20401
880935762899988482,2323,14968
880872448815771648,3188,18613
880465832366813184,5179,24882
880221127280381952,3442,23541
880095782870896641,3632,24200
879862464715927552,2910,19611
879674319642796034,9,280
879492040517615616,2616,20601
879415818425184262,37179,92322
879376492567855104,2628,14773
879130579576475649,5701,0
879050749262655488,3927,19717
879008229531029506,2228,16688
878776093423087618,3413,17065
878604707211726852,5891,26293
878404777348136964,1067,0
878316110768087041,5490,0
878281511006478336,1067,6743
878057613040115712,5701,36951
877736472329191424,15699,68919
877556246731214848,3146,19798
877316821321428993,4314,24010
877201837425926144,4595,23759
876838120628539392,2791,18136
876537666061221889,3955,20966
876484053909872640,1987,16479
876120275196170240,3884,24568
875747767867523072,3561,21984
875144289856114688,4129,19331
875097192612077568,5087,24128
875021211251597312,3948,22448
874680097055178752,3899,24481
874434818259525634,12142,0
874296783580663808,3462,22845
874057562936811520,3363,20022
874012996292530176,8537,29979
873580283840344065,3331,21283
873337748698140672,1324,0
873213775632977920,1324,6293
872967104147763200,4538,23940
872820683541237760,3153,13015
872620804844003328,3053,18237
872486979161796608,7675,35919
872122724285648897,6791,30059
871879754684805121,9191,32905
871762521631449091,2947,17787
871515927908634625,2922,17817
871166179821445120,4871,0
871102520638267392,4642,18461
871032628920680449,3210,20061
870804317367881728,5256,29668
870726314365509632,3,105
870656317836468226,2188,10826
870374049280663552,22617,73600
870308999962521604,3526,19390
870063196459192321,7041,32254
869772420881756160,8647,37832
869702957897576449,5354,24920
869596645499047938,2621,14120
869227993411051520,3178,18054
868880397819494401,12178,57654
868639477480148993,1735,0
868622495443632128,4434,23527
868552278524837888,1735,8917
867900495410671616,3552,21485
867774946302451713,6221,30123
867421006826221569,2106,14271
867072653475098625,100,0
867051520902168576,6742,28563
866720684873056260,4107,17767
866686824827068416,2946,17028
866450705531457537,30004,108335
866334964761202691,12142,46354
866094527597207552,7125,0
865718153858494464,4803,22821
865359393868664832,4261,23467
865006731092295680,6622,24918
864873206498414592,7463,28689
864279568663928832,2564,13006
864197398364647424,7535,26491
863907417377173506,3569,18342
863553081350529029,3609,13607
863471782782697472,2079,0
863432100342583297,4535,21187
863427515083354112,80,1955
863079547188785154,946,7865
863062471531167744,2079,7486
862831371563274240,4431,17149
862722525377298433,3066,15258
862457590147678208,4222,18177
862096992088072192,19869,65843
861383897657036800,9212,32109
861288531465048066,3567,15277
861005113778896900,3314,14912
860981674716409858,1844,0
860924035999428608,674,0
860563773140209665,1844,6689
860524505164394496,4576,21156
860276583193509888,3051,16497
860184849394610176,5095,14938
860177593139703809,26553,0
859924526012018688,3563,17534
859851578198683649,3055,13924
859607811541651456,1357,16750
859196978902773760,26124,80129
859074603037188101,11903,30264
858860390427611136,7029,0
858843525470990336,3014,14062
858471635011153920,4233,19385
858107933456039936,2527,14160
857989990357356544,2253,14424
857746408056729600,9299,30648
857393404942143489,1435,5282
857263160327368704,3950,18176
857214891891077121,16,202
857062103051644929,145,0
857029823797047296,3468,16978
856543823941562368,2530,14769
856526610513747968,1645,10781
856288084350160898,15,488
856282028240666624,5551,25122
855862651834028034,21,301
855860136149123072,849,4389
855857698524602368,1851,10821
855851453814013952,16056,41762
855818117272018944,4789,24186
855459453768019968,7270,26986
855245323840757760,5233,0
855138241867124737,36,0
854732716440526848,5313,20593
854482394044301312,5988,26449
854365224396361728,4129,17121
854120357044912130,6563,29103
854010172552949760,2779,14783
853760880890318849,5097,25968
853639147608842240,8822,31394
853299958564483072,3154,14091
852936405516943360,1782,0
852912242202992640,1588,8212
852672615818899456,1898,13588
852553447878664193,3096,14823
852311364735569921,8824,30233
852226086759018497,6059,18270
852189679701164033,1412,10538
851591660324737024,3111,14891
851464819735769094,6280,22181
851224888060895234,5144,18950
850753642995093505,8037,28005
850380195714523136,2321,12017
850333567704068097,301,3181
850145622816686080,3376,14979
850019790995546112,4345,18690
849776966551130114,6785,27812
849668094696017920,4422,0
849412302885593088,2815,14607
849336543269576704,1679,10514
849051919805034497,7588,38848
848690551926992896,3909,23182
848324959059550208,4134,22731
848213670039564288,644,7516
848212111729840128,2707,14965
847978865427394560,2907,0
847971574464610304,394,0
847962785489326080,4549,21664
847842811428974592,1184,4988
847617282490613760,376,6445
847606175596138505,3069,17288
847251039262605312,3895,18879
847157206088847362,5232,18302
847116187444137987,2864,19804
846874817362120707,3535,18545
846514051647705089,10324,41009
846505985330044928,2749,13021
846153765933735936,8129,28962
846139713627017216,9127,28698
846042936437604353,2576,14748
845812042753855489,7829,26907
845677943972139009,4364,23349
845397057150107648,1614,7054
845306882940190720,4831,21524
